Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,IncomePerYear,OvertimeRiskFlag,ExperienceRatio
49,No,Travel_Rarely,1091,Research & Development,1,2,Technical Degree,3,Female,90,2,4,Healthcare Representative,3,Single,13964,17810,7,12,3,4,0,25,2,3,7,1,0,7,167568,1,0.14285714285714285
52,Yes,Travel_Rarely,723,Research & Development,8,4,Medical,3,Male,85,2,2,Research Scientist,2,Married,4941,17747,2,15,3,1,0,11,3,2,8,2,7,7,59292,0,0.15384615384615385
27,No,Travel_Rarely,1220,Research & Development,5,3,Life Sciences,3,Female,85,3,1,Research Scientist,2,Single,2478,20938,1,12,3,2,0,4,2,2,4,3,1,2,29736,1,0.14814814814814814
32,No,Travel_Rarely,588,Sales,8,2,Technical Degree,3,Female,65,2,2,Sales Executive,2,Married,5228,24624,1,11,3,4,0,13,2,3,13,12,11,9,62736,1,0.40625
27,No,Travel_Rarely,1377,Sales,2,3,Life Sciences,4,Male,74,3,2,Sales Executive,3,Single,4478,5242,1,11,3,1,0,5,3,3,5,4,0,4,53736,1,0.18518518518518517
31,No,Travel_Rarely,691,Sales,7,3,Marketing,4,Male,73,3,2,Sales Executive,4,Divorced,7547,7143,4,12,3,4,3,13,3,3,7,7,1,7,90564,0,0.22580645161290322
32,No,Travel_Rarely,1018,Research & Development,2,4,Medical,1,Female,74,4,2,Research Scientist,4,Single,5055,10557,7,16,3,3,0,10,0,2,7,7,0,7,60660,0,0.21875
28,Yes,Travel_Rarely,1157,Research & Development,2,4,Medical,1,Male,84,1,1,Research Scientist,4,Married,3464,24737,5,13,3,4,0,5,4,2,3,2,2,2,41568,1,0.10714285714285714
30,No,Travel_Rarely,1275,Research & Development,28,2,Medical,4,Female,64,3,2,Research Scientist,4,Married,5775,11934,1,13,3,4,2,11,2,3,10,8,1,9,69300,0,0.3333333333333333
31,No,Travel_Frequently,798,Research & Development,7,2,Life Sciences,3,Female,48,2,3,Manufacturing Director,3,Married,8943,14034,1,24,4,1,1,10,2,3,10,9,8,9,107316,0,0.3225806451612903
39,No,Travel_Frequently,672,Research & Development,7,2,Medical,3,Male,54,2,5,Manager,4,Married,19272,21141,1,15,3,1,1,21,2,3,21,9,13,3,231264,0,0.5384615384615384
39,Yes,Travel_Rarely,1162,Sales,3,2,Medical,4,Female,41,3,2,Sales Executive,3,Married,5238,17778,4,18,3,1,0,12,3,2,1,0,0,0,62856,1,0.02564102564102564
33,No,Travel_Frequently,508,Sales,10,3,Marketing,2,Male,46,2,2,Sales Executive,4,Single,4682,4317,3,14,3,3,0,9,6,2,7,7,0,1,56184,0,0.21212121212121213
47,No,Travel_Rarely,1482,Research & Development,5,5,Life Sciences,4,Male,42,3,5,Research Director,3,Married,18300,16375,4,11,3,2,1,21,2,3,3,2,1,1,219600,0,0.06382978723404255
43,No,Travel_Frequently,559,Research & Development,10,4,Life Sciences,3,Female,82,2,2,Laboratory Technician,3,Divorced,5257,6227,1,11,3,2,1,9,3,4,9,7,0,0,63084,0,0.20930232558139536
27,No,Non-Travel,210,Sales,1,1,Marketing,3,Male,73,3,2,Sales Executive,2,Married,6349,22107,0,13,3,4,1,6,0,3,5,4,1,4,76188,1,0.18518518518518517
54,No,Travel_Frequently,928,Research & Development,20,4,Life Sciences,4,Female,31,3,2,Research Scientist,3,Single,4869,16885,3,12,3,4,0,20,4,2,4,3,0,3,58428,0,0.07407407407407407
43,No,Travel_Rarely,1001,Research & Development,7,3,Life Sciences,3,Female,43,3,3,Healthcare Representative,1,Married,9985,9262,8,16,3,1,1,10,1,2,1,0,0,0,119820,0,0.023255813953488372
45,No,Travel_Rarely,549,Research & Development,8,4,Other,4,Male,75,3,2,Research Scientist,4,Married,3697,9278,9,14,3,1,2,12,3,3,10,9,9,8,44364,0,0.2222222222222222
40,No,Travel_Rarely,1124,Sales,1,2,Medical,2,Male,57,1,2,Sales Executive,4,Married,7457,13273,2,22,4,3,3,6,2,2,4,3,0,2,89484,1,0.1
29,Yes,Travel_Rarely,318,Research & Development,8,4,Other,2,Male,77,1,1,Laboratory Technician,1,Married,2119,4759,1,11,3,4,0,7,4,2,7,7,0,7,25428,1,0.2413793103448276
29,No,Travel_Rarely,738,Research & Development,9,5,Other,2,Male,30,2,1,Laboratory Technician,4,Single,3983,7621,0,17,3,3,0,4,2,3,3,2,2,2,47796,0,0.10344827586206896
30,No,Travel_Rarely,570,Sales,5,3,Marketing,4,Female,30,2,2,Sales Executive,3,Divorced,6118,5431,1,13,3,3,3,10,2,3,10,9,1,2,73416,0,0.3333333333333333
27,No,Travel_Rarely,1130,Sales,8,4,Marketing,2,Female,56,3,2,Sales Executive,2,Married,6214,3415,1,18,3,1,1,8,3,3,8,7,0,7,74568,0,0.2962962962962963
37,No,Travel_Rarely,1192,Research & Development,5,2,Medical,4,Male,61,3,2,Manufacturing Director,4,Divorced,6347,23177,7,16,3,3,2,8,2,2,6,2,0,4,76164,0,0.16216216216216217
38,No,Travel_Rarely,343,Research & Development,15,2,Life Sciences,3,Male,92,2,3,Research Director,4,Divorced,11510,15682,0,14,3,2,1,12,3,3,11,10,2,9,138120,1,0.2894736842105263
31,No,Travel_Rarely,1232,Research & Development,7,4,Medical,3,Female,39,3,3,Manufacturing Director,4,Single,7143,25713,1,14,3,3,0,11,2,2,11,9,4,10,85716,1,0.3548387096774194
29,No,Travel_Rarely,144,Sales,10,1,Marketing,4,Female,39,2,2,Sales Executive,2,Divorced,8268,11866,1,14,3,1,2,7,2,3,7,7,1,7,99216,1,0.2413793103448276
35,No,Travel_Rarely,1296,Research & Development,5,4,Technical Degree,3,Male,62,3,3,Manufacturing Director,2,Single,8095,18264,0,13,3,4,0,17,5,3,16,6,0,13,97140,0,0.45714285714285713
23,No,Travel_Rarely,1309,Research & Development,26,1,Life Sciences,3,Male,83,3,1,Research Scientist,4,Divorced,2904,16092,1,12,3,3,2,4,2,2,4,2,0,2,34848,0,0.17391304347826086
41,No,Travel_Rarely,483,Research & Development,6,3,Medical,4,Male,95,2,2,Manufacturing Director,2,Single,6032,10110,6,15,3,4,0,8,3,3,5,4,1,2,72384,1,0.12195121951219512
47,No,Travel_Frequently,1309,Sales,4,1,Medical,2,Male,99,3,2,Sales Representative,3,Single,2976,25751,3,19,3,1,0,5,3,3,0,0,0,0,35712,0,0.0
42,No,Travel_Rarely,810,Research & Development,23,5,Life Sciences,1,Female,44,3,4,Research Director,4,Single,15992,15901,2,14,3,2,0,16,2,3,1,0,0,0,191904,0,0.023809523809523808
29,No,Non-Travel,746,Sales,2,3,Life Sciences,4,Male,61,3,2,Sales Executive,3,Married,4649,16928,1,14,3,1,1,4,3,2,4,3,0,2,55788,0,0.13793103448275862
42,No,Travel_Rarely,544,Human Resources,2,1,Technical Degree,3,Male,52,3,1,Human Resources,3,Divorced,2696,24017,0,11,3,3,1,4,5,3,3,2,1,0,32352,1,0.07142857142857142
32,No,Travel_Rarely,1062,Research & Development,2,3,Medical,3,Female,75,3,1,Laboratory Technician,2,Married,2370,3956,1,13,3,3,1,8,4,3,8,0,0,7,28440,0,0.25
48,No,Travel_Rarely,530,Sales,29,1,Medical,1,Female,91,3,3,Manager,3,Married,12504,23978,3,21,4,2,1,15,3,1,0,0,0,0,150048,0,0.0
37,No,Travel_Rarely,1319,Research & Development,6,3,Medical,3,Male,51,4,2,Research Scientist,1,Divorced,5974,17001,4,13,3,1,2,13,2,3,7,7,6,7,71688,1,0.1891891891891892
30,No,Non-Travel,641,Sales,25,2,Technical Degree,4,Female,85,3,2,Sales Executive,3,Married,4736,6069,7,12,3,2,1,4,2,4,2,2,2,2,56832,1,0.06666666666666667
26,No,Travel_Rarely,933,Sales,1,3,Life Sciences,3,Male,57,3,2,Sales Executive,3,Married,5296,20156,1,17,3,2,1,8,3,3,8,7,7,7,63552,0,0.3076923076923077
42,No,Travel_Rarely,1332,Research & Development,2,4,Other,1,Male,98,2,2,Healthcare Representative,4,Single,6781,17078,3,23,4,2,0,14,6,3,1,0,0,0,81372,0,0.023809523809523808
21,Yes,Travel_Frequently,756,Sales,1,1,Technical Degree,1,Female,99,2,1,Sales Representative,2,Single,2174,9150,1,11,3,3,0,3,3,3,3,2,1,2,26088,1,0.14285714285714285
36,No,Non-Travel,845,Sales,1,5,Medical,4,Female,45,3,2,Sales Executive,4,Single,6653,15276,4,15,3,2,0,7,6,3,1,0,0,0,79836,0,0.027777777777777776
36,No,Travel_Frequently,541,Sales,3,4,Medical,1,Male,48,2,3,Sales Executive,4,Married,9699,7246,4,11,3,1,1,16,2,3,13,9,1,12,116388,0,0.3611111111111111
57,No,Travel_Rarely,593,Research & Development,1,4,Medical,4,Male,88,3,2,Healthcare Representative,3,Married,6755,2967,2,11,3,3,0,15,2,3,3,2,1,2,81060,0,0.05263157894736842
40,No,Travel_Rarely,1171,Research & Development,10,4,Life Sciences,4,Female,46,4,1,Laboratory Technician,3,Married,2213,22495,3,13,3,3,1,10,3,3,7,7,1,7,26556,1,0.175
21,No,Non-Travel,895,Sales,9,2,Medical,1,Male,39,3,1,Sales Representative,4,Single,2610,2851,1,24,4,3,0,3,3,2,3,2,2,2,31320,0,0.14285714285714285
33,Yes,Travel_Rarely,350,Sales,5,3,Marketing,4,Female,34,3,1,Sales Representative,3,Single,2851,9150,1,13,3,2,0,1,2,3,1,0,0,0,34212,1,0.030303030303030304
37,No,Travel_Rarely,921,Research & Development,10,3,Medical,3,Female,98,3,1,Laboratory Technician,1,Married,3452,17663,6,20,4,2,1,17,3,3,5,4,0,3,41424,0,0.13513513513513514
46,No,Non-Travel,1144,Research & Development,7,4,Medical,3,Female,30,3,2,Manufacturing Director,3,Married,5258,16044,2,14,3,3,0,7,2,4,1,0,0,0,63096,0,0.021739130434782608
41,Yes,Travel_Frequently,143,Sales,4,3,Marketing,1,Male,56,3,2,Sales Executive,2,Single,9355,9558,1,18,3,3,0,8,5,3,8,7,7,7,112260,0,0.1951219512195122
50,No,Travel_Rarely,1046,Research & Development,10,3,Technical Degree,4,Male,100,2,3,Healthcare Representative,4,Single,10496,2755,6,15,3,4,0,20,2,3,4,3,1,3,125952,0,0.08
40,Yes,Travel_Rarely,575,Sales,22,2,Marketing,3,Male,68,2,2,Sales Executive,3,Married,6380,6110,2,12,3,1,2,8,6,3,6,4,1,0,76560,1,0.15
31,No,Travel_Rarely,408,Research & Development,9,4,Life Sciences,3,Male,42,2,1,Research Scientist,2,Single,2657,7551,0,16,3,4,0,3,5,3,2,2,2,2,31884,1,0.06451612903225806
21,Yes,Travel_Rarely,156,Sales,12,3,Life Sciences,3,Female,90,4,1,Sales Representative,2,Single,2716,25422,1,15,3,4,0,1,0,3,1,0,0,0,32592,0,0.047619047619047616
29,No,Travel_Rarely,1283,Research & Development,23,3,Life Sciences,4,Male,54,3,1,Research Scientist,4,Single,2201,18168,9,16,3,4,0,6,4,3,3,2,1,2,26412,0,0.10344827586206896
35,No,Travel_Rarely,755,Research & Development,9,4,Life Sciences,3,Male,97,2,2,Healthcare Representative,2,Single,6540,19394,9,19,3,3,0,10,5,3,1,1,0,0,78480,0,0.02857142857142857
27,No,Travel_Rarely,1469,Research & Development,1,2,Medical,4,Male,82,3,1,Laboratory Technician,2,Divorced,3816,17881,1,11,3,2,1,5,2,3,5,2,0,4,45792,0,0.18518518518518517
28,No,Travel_Rarely,304,Sales,9,4,Life Sciences,2,Male,92,3,2,Sales Executive,4,Single,5253,20750,1,16,3,4,0,7,1,3,7,5,0,7,63036,0,0.25
49,No,Travel_Rarely,1261,Research & Development,7,3,Other,2,Male,31,2,3,Healthcare Representative,3,Single,10965,12066,8,24,4,3,0,26,2,3,5,2,0,0,131580,0,0.10204081632653061
51,No,Travel_Rarely,1178,Sales,14,2,Life Sciences,3,Female,87,3,2,Sales Executive,4,Married,4936,14862,4,11,3,3,1,18,2,2,7,7,0,7,59232,0,0.13725490196078433
36,No,Travel_Rarely,329,Research & Development,2,3,Life Sciences,4,Female,96,3,1,Research Scientist,3,Married,2543,11868,4,13,3,2,1,6,3,3,2,2,2,2,30516,0,0.05555555555555555
34,Yes,Non-Travel,1362,Sales,19,3,Marketing,1,Male,67,4,2,Sales Executive,4,Single,5304,4652,8,13,3,2,0,9,3,2,5,2,0,4,63648,1,0.14705882352941177
55,No,Travel_Rarely,1311,Research & Development,2,3,Life Sciences,3,Female,97,3,4,Manager,4,Single,16659,23258,2,13,3,3,0,30,2,3,5,4,1,2,199908,1,0.09090909090909091
24,No,Travel_Rarely,1371,Sales,10,4,Marketing,4,Female,77,3,2,Sales Executive,3,Divorced,4260,5915,1,12,3,4,1,5,2,4,5,2,0,3,51120,1,0.20833333333333334
30,No,Travel_Rarely,202,Sales,2,1,Technical Degree,3,Male,72,3,1,Sales Representative,2,Married,2476,17434,1,18,3,1,1,1,3,3,1,0,0,0,29712,0,0.03333333333333333
26,Yes,Travel_Frequently,575,Research & Development,3,1,Technical Degree,3,Male,73,3,1,Research Scientist,1,Single,3102,6582,0,22,4,3,0,7,2,3,6,4,0,4,37224,0,0.23076923076923078
22,No,Travel_Rarely,253,Research & Development,11,3,Medical,1,Female,43,3,1,Research Scientist,2,Married,2244,24440,1,13,3,4,1,2,1,3,2,1,1,2,26928,0,0.09090909090909091
36,No,Travel_Rarely,164,Sales,2,2,Medical,2,Male,61,2,3,Sales Executive,3,Married,7596,3809,1,13,3,2,2,10,2,3,10,9,9,0,91152,0,0.2777777777777778
30,Yes,Travel_Frequently,464,Research & Development,4,3,Technical Degree,3,Male,40,3,1,Research Scientist,4,Single,2285,3427,9,23,4,3,0,3,4,3,1,0,0,0,27420,1,0.03333333333333333
37,No,Travel_Rarely,1107,Research & Development,14,3,Life Sciences,4,Female,95,3,1,Laboratory Technician,1,Divorced,3034,26914,1,12,3,3,1,18,2,2,18,7,12,17,36408,0,0.4864864864864865
40,No,Travel_Rarely,759,Sales,2,2,Marketing,4,Female,46,3,2,Sales Executive,2,Divorced,5715,22553,7,12,3,3,2,8,5,3,5,4,1,3,68580,0,0.125
42,No,Travel_Rarely,201,Research & Development,1,4,Life Sciences,2,Female,95,3,1,Laboratory Technician,1,Divorced,2576,20490,3,16,3,2,1,8,5,3,5,2,1,2,30912,0,0.11904761904761904
37,No,Travel_Rarely,1305,Research & Development,10,4,Life Sciences,3,Male,49,3,2,Manufacturing Director,2,Single,4197,21123,2,12,3,4,0,18,2,2,1,0,0,1,50364,1,0.02702702702702703
43,No,Travel_Rarely,982,Research & Development,12,3,Life Sciences,1,Male,59,2,4,Research Director,2,Divorced,14336,4345,1,11,3,3,1,25,3,3,25,10,3,9,172032,0,0.5813953488372093
40,No,Travel_Rarely,555,Research & Development,2,3,Medical,2,Female,78,2,2,Laboratory Technician,3,Married,3448,13436,6,22,4,2,1,20,3,3,1,0,0,0,41376,0,0.025
54,No,Travel_Rarely,821,Research & Development,5,2,Medical,1,Male,86,3,5,Research Director,1,Married,19406,8509,4,11,3,3,1,24,4,2,4,2,1,2,232872,0,0.07407407407407407
34,No,Non-Travel,1381,Sales,4,4,Marketing,3,Female,72,3,2,Sales Executive,3,Married,6538,12740,9,15,3,1,1,6,3,3,3,2,1,2,78456,0,0.08823529411764706
31,No,Travel_Rarely,480,Research & Development,7,2,Medical,2,Female,31,3,2,Manufacturing Director,1,Married,4306,4156,1,12,3,2,1,13,5,1,13,10,3,12,51672,0,0.41935483870967744
43,No,Travel_Frequently,313,Research & Development,21,3,Medical,4,Male,61,3,1,Laboratory Technician,4,Married,2258,15238,7,20,4,1,1,8,1,3,3,2,1,2,27096,0,0.06976744186046512
43,No,Travel_Rarely,1473,Research & Development,8,4,Other,3,Female,74,3,2,Healthcare Representative,3,Divorced,4522,2227,4,14,3,4,0,8,3,3,5,2,0,2,54264,1,0.11627906976744186
25,No,Travel_Rarely,891,Sales,4,2,Life Sciences,2,Female,99,2,2,Sales Executive,4,Single,4487,12090,1,11,3,2,0,5,3,3,5,4,1,3,53844,1,0.2
37,No,Non-Travel,1063,Research & Development,25,5,Medical,2,Female,72,3,2,Research Scientist,3,Married,4449,23866,3,15,3,1,2,15,2,3,13,11,10,7,53388,1,0.35135135135135137
31,No,Travel_Rarely,329,Research & Development,1,2,Life Sciences,4,Male,98,2,1,Laboratory Technician,1,Married,2218,16193,1,12,3,3,1,4,3,3,4,2,3,2,26616,0,0.12903225806451613
39,No,Travel_Frequently,1218,Research & Development,1,1,Life Sciences,2,Male,52,3,5,Manager,3,Divorced,19197,8213,1,14,3,3,1,21,3,3,21,8,1,6,230364,1,0.5384615384615384
56,No,Travel_Frequently,906,Sales,6,3,Life Sciences,3,Female,86,4,4,Sales Executive,1,Married,13212,18256,9,11,3,4,3,36,0,2,7,7,7,7,158544,0,0.125
30,No,Travel_Rarely,1082,Sales,12,3,Technical Degree,2,Female,83,3,2,Sales Executive,3,Single,6577,19558,0,11,3,2,0,6,6,3,5,4,4,4,78924,0,0.16666666666666666
41,No,Travel_Rarely,645,Sales,1,3,Marketing,2,Male,49,4,3,Sales Executive,1,Married,8392,19566,1,16,3,3,1,10,2,3,10,7,0,7,100704,0,0.24390243902439024
28,No,Travel_Rarely,1300,Research & Development,17,2,Medical,3,Male,79,3,2,Laboratory Technician,1,Divorced,4558,13535,1,12,3,4,1,10,2,3,10,0,1,8,54696,0,0.35714285714285715
25,Yes,Travel_Rarely,688,Research & Development,3,3,Medical,1,Male,91,3,1,Laboratory Technician,1,Married,4031,9396,5,13,3,3,1,6,5,3,2,2,0,2,48372,0,0.08
52,No,Travel_Rarely,319,Research & Development,3,3,Medical,4,Male,39,2,3,Manufacturing Director,3,Married,7969,19609,2,14,3,3,0,28,4,3,5,4,0,4,95628,1,0.09615384615384616
45,No,Travel_Rarely,192,Research & Development,10,2,Life Sciences,1,Male,69,3,1,Research Scientist,4,Married,2654,9655,3,21,4,4,2,8,3,2,2,2,0,2,31848,0,0.044444444444444446
52,No,Travel_Rarely,1490,Research & Development,4,2,Life Sciences,4,Female,30,3,4,Manager,4,Married,16555,10310,2,13,3,4,0,31,2,1,5,2,1,4,198660,0,0.09615384615384616
42,No,Travel_Frequently,532,Research & Development,29,2,Life Sciences,1,Female,92,3,2,Research Scientist,3,Divorced,4556,12932,2,11,3,2,1,19,3,3,5,4,0,2,54672,0,0.11904761904761904
30,No,Travel_Rarely,317,Research & Development,2,3,Life Sciences,3,Female,43,1,2,Manufacturing Director,4,Single,6091,24793,2,20,4,3,0,11,2,3,5,4,0,2,73092,0,0.16666666666666666
60,No,Travel_Rarely,422,Research & Development,7,3,Life Sciences,1,Female,41,3,5,Manager,1,Married,19566,3854,5,11,3,4,0,33,5,1,29,8,11,10,234792,0,0.48333333333333334
46,No,Travel_Rarely,1485,Research & Development,18,3,Medical,3,Female,87,3,2,Manufacturing Director,3,Divorced,4810,26314,2,14,3,3,1,19,5,2,10,7,0,8,57720,0,0.21739130434782608
42,No,Travel_Frequently,1368,Research & Development,28,4,Technical Degree,4,Female,88,2,2,Healthcare Representative,4,Married,4523,4386,0,11,3,4,3,7,4,4,6,5,0,4,54276,0,0.14285714285714285
24,Yes,Travel_Rarely,1448,Sales,1,1,Technical Degree,1,Female,62,3,1,Sales Representative,2,Single,3202,21972,1,16,3,2,0,6,4,3,5,3,1,4,38424,1,0.20833333333333334
34,Yes,Travel_Frequently,296,Sales,6,2,Marketing,4,Female,33,1,1,Sales Representative,3,Divorced,2351,12253,0,16,3,4,1,3,3,2,2,2,1,0,28212,0,0.058823529411764705
38,No,Travel_Frequently,1490,Research & Development,2,2,Life Sciences,4,Male,42,3,1,Laboratory Technician,4,Married,1702,12106,1,23,4,3,1,1,3,3,1,0,0,0,20424,1,0.02631578947368421
40,No,Travel_Rarely,1398,Sales,2,4,Life Sciences,3,Female,79,3,5,Manager,3,Married,18041,13022,0,14,3,4,0,21,2,3,20,15,1,12,216492,0,0.5
26,No,Travel_Rarely,1349,Research & Development,23,3,Life Sciences,1,Female,90,3,1,Research Scientist,4,Divorced,2886,3032,1,22,4,2,2,3,3,1,3,2,0,2,34632,0,0.11538461538461539
30,No,Non-Travel,1400,Research & Development,3,3,Life Sciences,3,Male,53,3,1,Laboratory Technician,4,Married,2097,16734,4,15,3,3,1,9,3,1,5,3,1,4,25164,0,0.16666666666666666
29,No,Travel_Rarely,986,Research & Development,3,4,Medical,2,Male,93,2,3,Research Director,3,Married,11935,21526,1,18,3,3,0,10,2,3,10,2,0,7,143220,0,0.3448275862068966
29,Yes,Travel_Rarely,408,Research & Development,25,5,Technical Degree,3,Female,71,2,1,Research Scientist,2,Married,2546,18300,5,16,3,2,0,6,2,4,2,2,1,1,30552,0,0.06896551724137931
19,Yes,Travel_Rarely,489,Human Resources,2,2,Technical Degree,1,Male,52,2,1,Human Resources,4,Single,2564,18437,1,12,3,3,0,1,3,4,1,0,0,0,30768,0,0.05263157894736842
30,No,Non-Travel,1398,Sales,22,4,Other,3,Female,69,3,3,Sales Executive,1,Married,8412,2890,0,11,3,3,0,10,3,3,9,8,7,8,100944,0,0.3
57,No,Travel_Rarely,210,Sales,29,3,Marketing,1,Male,56,2,4,Manager,4,Divorced,14118,22102,3,12,3,3,1,32,3,2,1,0,0,0,169416,0,0.017543859649122806
50,No,Travel_Rarely,1099,Research & Development,29,4,Life Sciences,2,Male,88,2,4,Manager,3,Married,17046,9314,0,15,3,2,1,28,2,3,27,10,15,7,204552,0,0.54
30,No,Non-Travel,1116,Research & Development,2,3,Medical,3,Female,49,3,1,Laboratory Technician,4,Single,2564,7181,0,14,3,3,0,12,2,2,11,7,6,7,30768,0,0.36666666666666664
60,No,Travel_Frequently,1499,Sales,28,3,Marketing,3,Female,80,2,3,Sales Executive,1,Married,10266,2845,4,19,3,4,0,22,5,4,18,13,13,11,123192,0,0.3
47,No,Travel_Rarely,983,Research & Development,2,2,Medical,1,Female,65,3,2,Manufacturing Director,4,Divorced,5070,7389,5,13,3,3,3,20,2,3,5,0,0,4,60840,0,0.10638297872340426
46,No,Travel_Rarely,1009,Research & Development,2,3,Life Sciences,1,Male,51,3,4,Research Director,3,Married,17861,2288,6,13,3,3,0,26,2,1,3,2,0,1,214332,0,0.06521739130434782
35,No,Travel_Rarely,144,Research & Development,22,3,Life Sciences,4,Male,46,1,1,Laboratory Technician,3,Single,4230,19225,0,15,3,3,0,6,2,3,5,4,4,3,50760,0,0.14285714285714285
54,No,Travel_Rarely,548,Research & Development,8,4,Life Sciences,3,Female,42,3,2,Laboratory Technician,3,Single,3780,23428,7,11,3,3,0,19,3,3,1,0,0,0,45360,0,0.018518518518518517
34,No,Travel_Rarely,1303,Research & Development,2,4,Life Sciences,4,Male,62,2,1,Research Scientist,3,Divorced,2768,8416,3,12,3,3,1,14,3,3,7,3,5,7,33216,0,0.20588235294117646
46,No,Travel_Rarely,1125,Sales,10,3,Marketing,3,Female,94,2,3,Sales Executive,4,Married,9071,11563,2,19,3,3,1,15,3,3,3,2,1,2,108852,1,0.06521739130434782
31,No,Travel_Rarely,1274,Research & Development,9,1,Life Sciences,3,Male,33,3,3,Manufacturing Director,2,Divorced,10648,14394,1,25,4,4,1,13,6,4,13,8,0,8,127776,0,0.41935483870967744
33,Yes,Travel_Rarely,1277,Research & Development,15,1,Medical,2,Male,56,3,3,Manager,3,Married,13610,24619,7,12,3,4,0,15,2,4,7,6,7,7,163320,1,0.21212121212121213
33,Yes,Travel_Rarely,587,Research & Development,10,1,Medical,1,Male,38,1,1,Laboratory Technician,4,Divorced,3408,6705,7,13,3,1,3,8,2,3,4,3,1,3,40896,0,0.12121212121212122
30,No,Travel_Rarely,413,Sales,7,1,Marketing,4,Male,57,3,1,Sales Representative,2,Single,2983,18398,0,14,3,1,0,4,3,3,3,2,1,2,35796,0,0.1
35,No,Travel_Rarely,1276,Research & Development,16,3,Life Sciences,4,Male,72,3,3,Healthcare Representative,3,Married,7632,14295,4,12,3,3,0,10,2,3,8,7,0,0,91584,1,0.22857142857142856
31,Yes,Travel_Frequently,534,Research & Development,20,3,Life Sciences,1,Male,66,3,3,Healthcare Representative,3,Married,9824,22908,3,12,3,1,0,12,2,3,1,0,0,0,117888,0,0.03225806451612903
34,Yes,Travel_Frequently,988,Human Resources,23,3,Human Resources,2,Female,43,3,3,Human Resources,1,Divorced,9950,11533,9,15,3,3,3,11,2,3,3,2,0,2,119400,1,0.08823529411764706
42,No,Travel_Frequently,1474,Research & Development,5,2,Other,2,Male,97,3,1,Laboratory Technician,3,Married,2093,9260,4,17,3,4,1,8,4,3,2,2,2,0,25116,0,0.047619047619047616
36,No,Non-Travel,635,Sales,10,4,Medical,2,Male,32,3,3,Sales Executive,4,Single,9980,15318,1,14,3,4,0,10,3,2,10,3,9,7,119760,0,0.2777777777777778
22,Yes,Travel_Frequently,1368,Research & Development,4,1,Technical Degree,3,Male,99,2,1,Laboratory Technician,3,Single,3894,9129,5,16,3,3,0,4,3,3,2,2,1,2,46728,0,0.09090909090909091
48,No,Travel_Rarely,163,Sales,2,5,Marketing,2,Female,37,3,2,Sales Executive,4,Married,4051,19658,2,14,3,1,1,14,2,3,9,7,6,7,48612,0,0.1875
55,No,Travel_Rarely,1117,Sales,18,5,Life Sciences,1,Female,83,3,4,Manager,2,Single,16835,9873,3,23,4,4,0,37,2,3,10,9,7,7,202020,0,0.18181818181818182
41,No,Non-Travel,267,Sales,10,2,Life Sciences,4,Male,56,3,2,Sales Executive,4,Single,6230,13430,7,14,3,4,0,16,3,3,14,3,1,10,74760,0,0.34146341463414637
35,No,Travel_Rarely,619,Sales,1,3,Marketing,2,Male,85,3,2,Sales Executive,3,Married,4717,18659,9,11,3,3,0,15,2,3,11,9,6,9,56604,0,0.3142857142857143
40,No,Travel_Rarely,302,Research & Development,6,3,Life Sciences,2,Female,75,3,4,Manufacturing Director,3,Single,13237,20364,7,15,3,3,0,22,3,3,20,6,5,13,158844,0,0.5
39,No,Travel_Frequently,443,Research & Development,8,1,Life Sciences,3,Female,48,3,1,Laboratory Technician,3,Married,3755,17872,1,11,3,1,1,8,3,3,8,3,0,7,45060,0,0.20512820512820512
31,No,Travel_Rarely,828,Sales,2,1,Life Sciences,2,Male,77,3,2,Sales Executive,4,Single,6582,8346,4,13,3,3,0,10,2,4,6,5,0,5,78984,1,0.1935483870967742
42,No,Travel_Rarely,319,Research & Development,24,3,Medical,4,Male,56,3,3,Manufacturing Director,1,Married,7406,6950,1,21,4,4,1,10,5,2,10,9,5,8,88872,1,0.23809523809523808
45,No,Travel_Rarely,561,Sales,2,3,Other,4,Male,61,3,2,Sales Executive,2,Married,4805,16177,0,19,3,2,1,9,3,4,8,7,3,7,57660,0,0.17777777777777778
26,Yes,Travel_Frequently,426,Human Resources,17,4,Life Sciences,2,Female,58,3,1,Human Resources,3,Divorced,2741,22808,0,11,3,2,1,8,2,2,7,7,1,0,32892,1,0.2692307692307692
29,No,Travel_Rarely,232,Research & Development,19,3,Technical Degree,4,Male,34,3,2,Manufacturing Director,4,Divorced,4262,22645,4,12,3,2,2,8,2,4,3,2,1,2,51144,0,0.10344827586206896
33,No,Travel_Rarely,922,Research & Development,1,5,Medical,1,Female,95,4,4,Research Director,3,Divorced,16184,22578,4,19,3,3,1,10,2,3,6,1,0,5,194208,0,0.18181818181818182
